State,TotalBaseAcres,
Alabama,1690370,
Alaska,19500,
Arizona,700956,
Arkansas,6971170,
California,3727268,
Colorado,5433588,
Connecticut,35289,
Delaware,394920,
Florida,462242,
Georgia,3353718,
Hawaii,0,
Idaho,3103917,
Illinois,21683354,
Indiana,11259225,
Iowa,22543890,
Kansas,21866755,
Kentucky,3203052,
Louisiana,3153695,
Maine,94123,
Maryland,1091942,
Massachusetts,26186,
Michigan,4986348,
Minnesota,17241813,
Mississippi,3901475,
Missouri,10056791,
Montana,10403593,
Nebraska,16425836,
Nevada,53886,
New Hampshire,17892,
New Jersey,203293,
New Mexico,1161214,
New York,1519648,
North Carolina,3639372,
North Dakota,21227272,
Ohio,8644859,
Oklahoma,9034731,
Oregon,1483154,
Pennsylvania,1492471,
Rhode Island,1757,
South Carolina,1507198,
South Dakota,14079556,
Tennessee,2944804,
Texas,20910575,
Utah,460107,
Vermont,102938,
Virginia,1383104,
Washington,3914096,
West Virginia,103381,
Wisconsin,5742415,
Wyoming,631708,
